,count,mean,std,min,25%,50%,75%,max,beta,entropy
USB UN Equity,251.0,0.0003560184824063708,0.02137872095726769,-0.0862841308039296,-0.01193766639996836,0.0009060720626247699,0.012062690902076173,0.06830720455339757,0.9751887281898703,1.7303808542881531
1684442D UN Equity,251.0,-0.0012466145168522774,0.020889519217537275,-0.10886075949367081,-0.013423349822162738,-0.000867678958785231,0.010593459184452701,0.07726269315673281,0.7814308908780095,1.4894520020618736
KBH UN Equity,251.0,0.0007076796281175967,0.028101522648454218,-0.07979775774895587,-0.01657796346597852,-0.0008183306055646306,0.018319364435105234,0.09557643823057517,0.9876009437700257,1.8617021777478198
PPG UN Equity,251.0,0.00020285286059238365,0.02455107036313014,-0.07948672250935664,-0.01304798788291095,-0.001412144442202951,0.011561755136837368,0.108427915962328,1.028542507522518,1.634586394982686
T UN Equity,251.0,-0.0011639572218882129,0.0272464646534257,-0.10194902548725633,-0.01782660150314984,-0.0025690430314708364,0.014684795269901681,0.08027750247770074,1.050146148015718,1.7843780440791448
HSY UN Equity,251.0,0.0002012354039806852,0.021444492854514188,-0.11936052025470806,-0.0066669653313938095,0.0007446016381235615,0.006780055856259718,0.25279999999999997,0.208585012115904,0.6623703265250803
M UN Equity,251.0,-0.0009618432513512231,0.02828829758645428,-0.09045812664137733,-0.018839327095311456,-0.0033020066040130927,0.016574258864102756,0.09654987964696442,1.1569771822822412,1.8436840570043298
1431816D UN Equity,251.0,-0.0027661060393842037,0.05125916249214048,-0.1586998087954111,-0.03478523895946772,-0.007407407407407381,0.021646165369789253,0.2077294685990339,2.0259250075508537,1.7155034429991272
AMGN UQ Equity,251.0,-0.00011148175059019506,0.03187390386957137,-0.09416909620991246,-0.019350902781833802,-0.0026495915213070754,0.018841425511444427,0.13076300889727674,1.0242801616419246,1.712871657781703
RBK UN Equity,251.0,0.000641002060388805,0.024104297998900303,-0.1108303249097473,-0.014351456554495205,-0.0021045247281656354,0.011769241600797148,0.09137709137709149,0.8267508162365043,1.5350976540144825
KRB UN Equity,251.0,-0.00022848820835933136,0.035811205136142,-0.1371951219512194,-0.019317263877381967,-0.0024089903519937316,0.015489409502272088,0.21159420289855058,1.771506045596682,1.4156589942948958
CR UN Equity,251.0,-0.0007824682941663122,0.020836650517083617,-0.13638508730533272,-0.012617017856780585,-0.0011227544910178736,0.010524368410582803,0.06536259541984721,0.8465092516575552,1.3943929383082838
2942331Q UN Equity,251.0,0.000271953000907309,0.020162773809557808,-0.05599874863131547,-0.013155390622775789,-0.0011232349165596965,0.011845422592234624,0.06120527306967985,0.9854344478841363,1.9278414584746912
0111145D UN Equity,251.0,-0.00017121808975016146,0.031960486784706726,-0.4014732965009208,-0.007831348252356088,0.000712504453152817,0.01137949998185812,0.09498997995991988,0.9085005630227879,0.7458535344730527
1524867D UN Equity,251.0,0.0007490747005607447,0.030929078235783582,-0.07539682539682534,-0.021506340482161268,-0.003639672429481269,0.021139984573237215,0.09662186705412278,1.0545937909345338,1.9829202381139746
SANM UQ Equity,251.0,-0.0035218475896193497,0.07166351137601434,-0.21411029247599903,-0.04489308852229096,-0.010025062656641687,0.030796623995983954,0.44444444444444436,2.261718882821132,1.4788779928969196
TMO UN Equity,251.0,-0.00037323715122098273,0.022261712412955475,-0.06156156156156158,-0.015574667475228267,-0.0013043478260870058,0.012702762199110082,0.07172413793103442,0.9099402357022809,1.8978911590568026
AON UN Equity,251.0,-0.001921114885168711,0.03330604216268407,-0.30330188679245285,-0.012187198966677523,-0.0005291005291004239,0.009210440596962003,0.22089364380113266,0.8123754582785933,0.8283121391647102
